"标识","品牌","MPN码","规格","","插件位置","底数","数量","单位","承样状态","创建时间"
"310051370, SMD IC Logic;4-Bit Bidirectional Voltage-Level Translator;DSBGA-12, A.2 (Design)","Union Semiconductor","UM3304","","","U7 U11 U12 U13 U14 U15 U16 U18 U19 U23 U24 U25 U26 U27 U28 U30 U31","1","17","PCS","无需承样","2022/07/19 16:51  CST"
"310051371, SMD IC Logic;4-Bit Bidirectional Voltage-Level Translator;DSBGA-12, A.2 (Design)","Union Semiconductor","UM3204H","","","U17 U22 U29","1","3","PCS","无需承样","2022/07/19 16:54  CST"
"310091085, SMD IC Memory;16GB eMMC 5.1;VFBGA-153, A.2 (Design)","Kingston","EMMC16G-TB29-PZ90","","","U3","1","1","PCS","无需承样","2020/06/01 16:06  CST"
"310091347, SMD IC Memory;32Kb-IIC Serial EEPROM;SOT23-5, A.2 (Design)","FMD","FT24C32A-ELRT","","","U20","1","1","PCS","无需承样","2022/03/02 14:13  CST"
"310091405, SMD IC Memory;LPDDR4X 2GB(16bits x 2 channels) 2133MHz 4266Mbps;WFBGA-200 (10X15), A.2 (Design)","Samsung","K4U6E3S4AA-MGCR","","","UD1 UD2","1","2","PCS","无需承样","2022/07/19 16:58  CST"
"310990024, SMD Precision Load Switch with Adjustable Curren IC;DFN22-6, A.1 (Design)","ETA","ETA6020D2G-T/U","","","U5 U8 U9","1","3","PCS","已承样","2015/10/31 15:54  CST"
"310991199, SMD IC 1000Base-T Ethernet Transceiver;QFN40, A.2 (Design)","Realtek","RTL8211F-VD-CG","","","U4","1","1","PCS","无需承样","2022/07/19 16:44  CST"
"311020518, SMD Top Button 1.57N;4P-L4.6*W3.2*H2.5mm, A.3 (Design)","ALPS","SKRPABE010","","","SW1 SW2 SW3 SW4","1","4","PCS","无需承样","2017/11/02 14:26  CST"
"317060602, SMD WIFI Module ;1T1R 802.11 a/ b/g/n Wi-Fi + BT 5.2;SDIO,UART/PCM;12*12*1.7mm, A.2 (Design)","Ampak","AP6203BM","","","U2","1","1","PCS","无需承样","2022/07/19 16:37  CST"
"319015460, PCB; BeagleV-Ahead_v1.0-蓝油白字-10层, A.3 (Design)","","","96.5*60.7*1.6mm-化学沉金-EM-390","","","1","1","PCS","无需承样","2023/04/21 16:27  CST"
"320010901, SMD HDMI Type D Right Angle;SMT+DIP-19P, A.3 (Design)","FCI","10118241-001RLF","","","J1","1","1","PCS","无需承样","2020/02/12 17:20  CST"
"320011259, SMD+DIP Micro USB 3.0 TYPE B;10P+7, A.2 (Design)","MTCONN","UBF30-0101","","","J6","1","1","PCS","无需承样","2022/07/19 16:11  CST"
"320020078, DIP Black Male Header VERT;1*6P-2.54-2.5-11.5/3.0mm, B.2 (Design)","思拓展","ST-PH-254-0087-1*6P-6T","PH2.54 H2.5 180度 L11.5 PC3.0 PA6.0 镀金0.8U PA6T料","","J10","1","1","PCS","已承样","2015/10/31 16:29  CST"
"320031344, SMD+DIP Black Female Header;2*23P-2.54*8.5-3.0mm, A.5 (Design)","思拓展","ST-FH-254-0182-2*23","FH:2.54 H:8.5 PC:3.0/7.1MM 第1.2.22.23列为直插 第3至21列为贴片 2*23Pin","","P8 P9","1","2","PCS","无需承样","2021/07/08 16:45  CST"
"320060764, SMD FPC CONN;22P-0.5mm-90D-Bottom Contact-L15.40*W5.25*H2.00mm, A.3 (Design)","百斯特","0.5K-DX-22PWB","","","J3 J4 J5","1","3","PCS","无需承样","2021/07/08 16:48  CST"
"320090416, SMD SD Card Holder;Reverse-Bottom,8P-14.3*16mm, A.3 (Design)","YU LIANG(宇亮)","YL004-030-001","","","J15","1","1","PCS","无需承样","2021/02/20 17:10  CST"
"320111077, SMD U-FL Female CONN-Gold;3P-L2.6*W2.6*H1.25mm, A.5 (Design)","HRS","U.FL-R-SMT-1","","","J2","1","1","PCS","无需承样","2018/08/16 13:43  CST"
"320120003, DIP DC Power Jack W/P-2.0-Black;3P-L14.2*W9.0*H11.0mm-90D, A.1 (Design)","百斯特","DC-005","","","J8","1","1","PCS","未承样","2015/10/31 16:21  CST"
"320140517, DIP RJ45;1000M,Integrated Magnetics,G/O/Y 3 LEDs,Right Angle;16P-21.25*15.93*13.3mm, A.2 (Design)","LINK-PP","LPJG0933H11NL","","","J14","1","1","PCS","无需承样","2022/03/01 15:05  CST"
"320150353, SMD Box Header with 3 slots;2*8P-1.27mm, A.3 (Design)","思拓展","ST-BF-127-2*8A-C","BH:1.27 H:4.9 SMT PC:5.6 2x8PIN 黄铜镀金0.8U PA6T料 两端开口","","J7","1","1","PCS","无需承样","2021/09/23 11:30  CST"
"326050947, SMD Stud; M3螺柱, 反向垫片, D6*1MM+D4.2*6.6MM, 铁料, 表面电镀锡（编带包装, 贴麦拉）, A.2 (Design)","Sinhoo","SMSR3066MTJ","雄和远景, M3*6*6.6+1","","MH1 MH2 MH3 MH4","1","4","PCS","无需承样","2021/11/22 10:00  CST"
"327131816, 空白标签;5000pcs卷-5列-耐高温300度-7*14mm, C.1 (Design)","","","","","","1","1","PCS","无需承样","2018/08/13 14:42  CST"
"327132464, DC贴纸;5V-富洲25#油胶强粘哑银龙+过哑胶-12*8mm, A.2 (Design)","","","","","Label 1","1","1","PCS","无需承样","2020/09/23 09:11  CST"
