SKU,Description,brand,MPN,specification,position,qty,底数,unit
306011310,SMD Crystal 37.4MHz-16pF-10ppm-40R;4P-SMD-L3.2*W2.5*H0.8mm,Interquip,5YAA37400161TF40Q3,,Y4,1,1,PCS
306011192,SMD Crystal 25MHz-18pF-20ppm;4P-SMD-L3.2*W2.5*H0.8mm,Interquip,5YAA25000182TF40Q3,,Y3,1,1,PCS
306011309,SMD Crystal 24MHz-12pF-20ppm-60R;4P-SMD-L3.2*W2.5*H0.8mm,Interquip,5YAA24000122TF60Q3,,Y2,1,1,PCS
304090043,SMD LED Clear-Green;LED-0603,Everlight,19-217/G7C-AN1P2/6T,(正贴),LED6,1,1,PCS
304090045,SMD LED Clear-Blue;0603,Everlight,19-217/BHC-ZL1M2RY/6T,,LED1 LED2 LED3 LED4 LED5,5,1,PCS
306020821,SMD Oscillator 32.768kHz 30PPM 1.8V;4P-SMD-L2.5*W2.0*H1.0mm,Interquip,1651-L3273-BTKQYA,,OSC1,1,1,PCS
320010901,SMD HDMI Type D Right Angle;SMT+DIP-19P,FCI,10118241-001RLF,,J1,1,1,PCS
320060764,SMD FPC CONN;22P-0.5mm-90D-Bottom Contact-L15.40*W5.25*H2.00mm,百斯特,0.5K-DX-22PWB,,J3 J4 J5,3,1,PCS
327131816,空白标签;5000pcs卷-5列-耐高温300度-7*14mm,,,,,1,1,PCS
319015460,PCB; BeagleV-Ahead_v1.0-蓝油白字-10层,,,96.5*60.7*1.6mm-化学沉金-EM-390,,1,1,PCS
327132464,DC贴纸;5V-富洲25#油胶强粘哑银龙+过哑胶-12*8mm,,,,Label 1,1,1,PCS
